lat,lng,active,EVI,EVI_stdDev,LST_AVE,LST_AVE_stdDev,def,def_stdDev
-25.54972222,25.9275,0.0,2232.1739130434785,818.7195544780204,14649.655688622754,525.4202293191751,1009.0833333333334,318.70322096827874
-25.55027778,25.91527778,0.0,1757.1304347826087,757.5938629949673,14659.114705882354,552.6581395361076,1012.9166666666666,312.39357076539767
-25.52058328,25.91963408,0.0,2232.1739130434785,818.7195544780204,14649.655688622754,525.4202293191751,1009.0833333333334,318.70322096827874
-24.35277778,27.04833333,1.0,2518.9565217391305,941.5702185023223,14721.30487804878,507.77591175789377,1037.3333333333333,326.85096841764977
-24.71666667,26.81666667,0.0,2495.9565217391305,1167.6465173219117,14732.72641509434,526.5995315804554,967.5833333333334,352.4768215389803
-24.65221,27.37475,0.0,2692.2608695652175,948.2744611588987,14703.552147239263,406.8882611929349,919.3333333333334,373.52963589103456
-24.6,27.35,0.0,2521.6521739130435,930.7815140209331,14731.332278481013,395.82075485091303,936.3333333333334,375.7444462515565
-24.95805556,27.5,1.0,2376.3478260869565,799.1176987204808,14684.082317073171,517.0465574918104,888.4166666666666,368.30274194230776
-24.71666667,27.41666667,0.0,3405.3478260869565,1110.0136939498286,14678.778125,479.43699809930695,917.5833333333334,370.1687584362329
-25.225,28.29138889,0.0,2812.4347826086955,949.7423827400662,14649.844236760124,475.68637476774705,854.5833333333334,305.7249467340791
-25.21666667,28.3,0.0,2439.217391304348,962.6425566488608,14620.694189602447,478.427007904911,847.5833333333334,304.376263401439
-24.53065036,26.55965561,1.0,2116.0434782608695,979.3096716015059,14726.559748427673,518.6026895174853,1085.8333333333333,290.42349346352046
-24.83063058,26.67965828,1.0,2068.8260869565215,954.9931778574407,14718.17933130699,557.5567042719224,996.8333333333334,347.33841167112826
-24.53194444,26.97916667,0.0,2574.7391304347825,1025.2978026510066,14725.903426791278,516.325695969569,999.6666666666666,312.33697970123364
-25.77916667,27.25416667,0.0,2837.782608695652,842.9674271143595,14582.08510638298,434.1718792372722,840.4166666666666,308.23677542146424
-25.78279,27.32712,1.0,2638.3478260869565,693.8613825163123,14609.55487804878,430.6070552287547,791.4166666666666,334.74006291781427
-25.74416667,27.30277778,0.0,2628.391304347826,927.0969528179811,14582.08510638298,434.1718792372722,863.0833333333334,300.4309289263599
-25.775,27.29555556,0.0,2628.391304347826,927.0969528179811,14582.08510638298,434.1718792372722,863.0833333333334,300.4309289263599
-25.76287,27.32146,0.0,2637.913043478261,832.6741057290104,14633.027108433735,512.0420044541104,879.0833333333334,298.5396283949958
-25.7,27.33305556,0.0,2099.6521739130435,928.9808632229215,14656.696319018405,540.3541923374129,861.3333333333334,314.5097596083289
-25.71666667,27.46666667,0.0,2159.913043478261,794.4512414536582,14649.039039039038,508.39216759658245,815.75,335.79411474890384
-22.61138889,28.84138889,0.0,1939.391304347826,528.5195680742855,14819.375,558.0889585514583,1022.4166666666666,413.14373171519316
-25.74416667,27.30277778,0.0,2628.391304347826,927.0969528179811,14582.08510638298,434.1718792372722,863.0833333333334,300.4309289263599
-25.72333333,27.31805556,0.0,2099.6521739130435,928.9808632229215,14656.696319018405,540.3541923374129,861.3333333333334,314.5097596083289
-25.75881,27.42864,1.0,2391.521739130435,861.1193862371798,14594.6,432.37147748833445,800.4166666666666,335.95943662227376
-23.39638889,27.65055556,0.0,2253.782608695652,865.9449202547089,14746.385113268609,521.5521494232758,933.5833333333334,485.0614150691527
-23.35916667,27.68055556,0.0,2202.086956521739,728.3317992713676,14754.18006430868,539.4006198273108,938.8333333333334,486.51530180343644
-25.77057061,27.42967769,0.0,2391.521739130435,861.1193862371798,14594.6,432.37147748833445,800.4166666666666,335.95943662227376
-25.77057061,27.42967769,0.0,2391.521739130435,861.1193862371798,14594.6,432.37147748833445,800.4166666666666,335.95943662227376
-25.72929,28.23018,1.0,2383.391304347826,553.9031259776967,14591.848942598188,471.789248506608,736.5833333333334,341.90970014838064
-25.73,28.23,0.0,2383.391304347826,553.9031259776967,14591.848942598188,471.789248506608,736.5833333333334,341.90970014838064
-25.73616,28.23721,0.0,2383.391304347826,553.9031259776967,14591.848942598188,471.789248506608,736.5833333333334,341.90970014838064
-25.73256,28.24027,0.0,2383.391304347826,553.9031259776967,14591.848942598188,471.789248506608,736.5833333333334,341.90970014838064
-25.73391,28.23832,0.0,2383.391304347826,553.9031259776967,14591.848942598188,471.789248506608,736.5833333333334,341.90970014838064
-25.69255,28.08304,0.0,2211.391304347826,757.883651683821,14603.675675675675,487.4978739400061,770.5833333333334,358.4923193815393
-25.71729,28.21638,0.0,2383.391304347826,553.9031259776967,14591.848942598188,471.789248506608,736.5833333333334,341.90970014838064
-25.66666667,27.20805556,0.0,2743.5652173913045,712.9594674793447,14627.477341389727,445.251083583425,828.5833333333334,335.4699336585753
-25.13305556,27.81666667,0.0,2267.217391304348,836.2272395822094,14677.699386503067,464.1965898718825,884.8333333333334,362.2514856959028
-25.13305556,27.825,0.0,2267.217391304348,836.2272395822094,14677.699386503067,464.1965898718825,884.8333333333334,362.2514856959028
-25.8,27.76666667,0.0,2430.8695652173915,685.3311040053577,14603.557275541796,479.4566961673263,823.8333333333334,337.90724401166005
-25.8,27.76666667,0.0,2430.8695652173915,685.3311040053577,14603.557275541796,479.4566961673263,823.8333333333334,337.90724401166005
-26.07055556,26.10166667,0.0,2038.9130434782608,666.672197204533,14611.044025157233,546.9687232605681,958.9166666666666,336.7534850929121
-24.885,28.27916667,0.0,2542.7391304347825,934.6298601186088,14682.5245398773,507.84152068729964,773.6666666666666,384.54872542009844
